gameId,crash
5948000,1.02
5948001,1.29
5948002,1.06
5948003,1.11
5948004,9.59
5948005,4.95
5948006,40.54
5948007,13.96
5948008,1.33
5948009,6.27
5948010,1.08
5948011,1.26
5948012,2.75
5948013,1.62
5948014,1.52
5948015,1.6
5948016,1.26
5948017,1.77
5948018,5.92
5948019,3.59
5948020,46.17
5948021,6.21
5948022,1.64
5948023,3.47
5948024,1.36
5948025,2.3
5948026,1.61
5948027,4.05
5948028,4.87
5948029,3.13
5948030,1.71
5948031,2.03
5948032,1.52
5948033,4.88
5948034,1.11
5948035,1.14
5948036,1.87
5948037,1.11
5948038,27.99
5948039,4.46
5948040,1.55
5948041,1.83
5948042,1.34
5948043,1.28
5948044,1.28
5948045,1.24
5948046,1.24
5948047,1.08
5948048,4.3
5948049,1.15
5948050,2.1
5948051,75.36
5948052,4.48
5948053,1.43
5948054,3.21
5948055,10.48
5948056,2.01
5948057,1.58
5948058,1.06
5948059,3.45
5948060,1.24
5948061,2.77
5948062,2.58
5948063,2.98
5948064,1.44
5948065,11.46
5948066,1.42
5948067,64.35
5948068,1.62
5948069,3.58
5948070,1.4
5948071,2.32
5948072,2.18
5948073,3.8
5948074,15.08
5948075,1.01
5948076,2.95
5948077,2.11
5948078,8.63
5948079,1.11
5948080,1.66
5948081,4.9
5948082,3.19
5948083,1.02
5948084,1.65
5948085,2.45
5948086,1.6
5948087,1.04
5948088,2.19
5948089,3.37
5948090,20.24
5948091,1.09
5948092,2.08
5948093,1.54
5948094,1.01
5948095,1.05
5948096,5.98
5948097,0
5948098,1.47
5948099,2.47
5948100,1.22
5948101,34.45
5948102,1.18
5948103,1.38
5948104,3.79
5948105,1.59
5948106,11.17
5948107,1.29
5948108,136.7
5948109,3.61
5948110,6.11
5948111,1.75
5948112,2.91
5948113,5.81
5948114,20.65
5948115,6.22
5948116,31.34
5948117,1.56
5948118,3.24
5948119,1.04
5948120,1.12
5948121,1.07
5948122,1.45
5948123,1.09
5948124,3.44
5948125,1.26
5948126,16.16
5948127,1.62
5948128,1.01
5948129,1.11
5948130,1.2
5948131,21.54
5948132,2.18
5948133,1.36
5948134,1.72
5948135,1.14
5948136,3.15
5948137,1.93
5948138,1.87
5948139,1.3
5948140,3.63
5948141,2.4
5948142,4.7
5948143,1.88
5948144,19.97
5948145,2.42
5948146,1.08
5948147,12.95
5948148,19.22
5948149,2.33
5948150,1.23
5948151,11.24
5948152,1.24
5948153,1.36
5948154,1.48
5948155,1.27
5948156,2.61
5948157,1.28
5948158,1.07
5948159,2.05
5948160,1.86
5948161,42.42
5948162,1.62
5948163,2.05
5948164,1.73
5948165,1.09
5948166,3.07
5948167,3.28
5948168,2.16
5948169,3.84
5948170,54.69
5948171,2.75
5948172,1.2
5948173,4.25
5948174,1.45
5948175,2.37
5948176,1.27
5948177,30.64
5948178,1.2
5948179,17.87
5948180,2.46
5948181,1.03
5948182,5.04
5948183,1.98
5948184,3.31
5948185,1.33
5948186,1.97
5948187,3.6
5948188,12
5948189,1.14
5948190,2.36
5948191,0
5948192,1.19
5948193,1.28
5948194,30.98
5948195,2.02
5948196,2.6
5948197,1.54
5948198,1.25
5948199,2.76
5948200,2.74
5948201,1.34
5948202,1.49
5948203,4.69
5948204,53.14
5948205,18.72
5948206,7.56
5948207,1.14
5948208,3.56
5948209,1.15
5948210,4.64
5948211,8.4
5948212,1.18
5948213,1.56
5948214,1.68
5948215,1.76
5948216,0
5948217,1.1
5948218,53.8
5948219,1.88
5948220,1.05
5948221,3.24
5948222,1.09
5948223,2.8
5948224,3.84
5948225,1.52
5948226,2.36
5948227,9.94
5948228,1.06
5948229,1.51
5948230,11.98
5948231,3.82
5948232,1.03
5948233,1.45
5948234,1.33
5948235,1.45
5948236,1.84
5948237,1.61
5948238,1.4
5948239,2.36
5948240,1.64
5948241,8.84
5948242,14.18
5948243,1.12
5948244,1.01
5948245,26.51
5948246,3.81
5948247,39.58
5948248,2.2
5948249,3.69
5948250,3.75
5948251,3.24
5948252,1.1
5948253,1
5948254,1.6
5948255,2.3
5948256,1.27
5948257,2.05
5948258,1
5948259,1.68
5948260,201.31
5948261,1.83
5948262,2.4
5948263,1.71
5948264,1.39
5948265,5.53
5948266,1.04
5948267,1.83
5948268,3.57
5948269,1.33
5948270,8.7
5948271,2.55
5948272,2.65
5948273,1.56
5948274,2.15
5948275,3.9
5948276,1.07
5948277,1.51
5948278,1
5948279,1.58
5948280,1.59
5948281,4.41
5948282,1.02
5948283,1.66
5948284,2.06
5948285,2.82
5948286,13.64
5948287,28.07
5948288,1.04
5948289,1.18
5948290,1.94
5948291,1.21
5948292,1.73
5948293,10.32
5948294,1.09
5948295,3.44
5948296,1.05
5948297,1.21
5948298,23.36
5948299,2.16
5948300,2.36
5948301,1.77
5948302,7.39
5948303,1.23
5948304,1.77
5948305,1.14
5948306,1.57
5948307,11.45
5948308,1.08
5948309,1.42
5948310,2.49
5948311,1.31
5948312,1.37
5948313,1.1
5948314,3.32
5948315,25.36
5948316,2.5
5948317,3.88
5948318,4.68
5948319,1.48
5948320,1.69
5948321,1.03
5948322,1.94
5948323,1.16
5948324,1.87
5948325,1.07
5948326,39.15
5948327,2.24
5948328,2.84
5948329,2.59
5948330,2.25
5948331,1.99
5948332,3.67
5948333,1.56
5948334,1.46
5948335,1.55
5948336,2.54
5948337,3.97
5948338,7.45
5948339,1.19
5948340,8.07
5948341,1.38
5948342,2.93
5948343,1
5948344,1.29
5948345,1.83
5948346,1.05
5948347,8.08
5948348,1.69
5948349,1.47
5948350,1.33
5948351,12.49
5948352,1.09
5948353,4.57
5948354,11.31
5948355,1.68
5948356,9.56
5948357,1.42
5948358,1.47
5948359,1.4
5948360,4.25
5948361,1.14
5948362,118.2
5948363,2.57
5948364,3.37
5948365,5.15
5948366,2.57
5948367,1.79
5948368,1.5
5948369,6.36
5948370,5.3
5948371,4.68
5948372,2.89
5948373,3.41
5948374,1.4
5948375,3.18
5948376,1.21
5948377,2.23
5948378,1.61
5948379,13.45
5948380,2.5
5948381,1.61
5948382,1.94
5948383,2.31
5948384,2.82
5948385,1.28
5948386,1.47
5948387,1.3
5948388,1.14
5948389,1.05
5948390,1.48
5948391,24.5
5948392,1.08
5948393,24.26
5948394,1.01
5948395,2.38
5948396,0
5948397,1.14
5948398,1.39
5948399,4.72
5948400,89.5
5948401,2.07
5948402,1.54
5948403,1.04
5948404,2.93
5948405,2.9
5948406,1.26
5948407,2.99
5948408,1.31
5948409,2.02
5948410,1.16
5948411,9.96
5948412,5.3
5948413,1.75
5948414,1.67
5948415,2.27
5948416,1.12
5948417,1.17
5948418,1.79
5948419,1.33
5948420,1.01
5948421,4.8
5948422,1.63
5948423,1
5948424,1.58
5948425,13.65
5948426,1.13
5948427,1.25
5948428,4.83
5948429,1.78
5948430,2.83
5948431,4.71
5948432,1.12
5948433,2.52
5948434,1.09
5948435,1.08
5948436,1.17
5948437,13.12
5948438,2.97
5948439,2.78
5948440,2.37
5948441,1.42
5948442,1.87
5948443,3.88
5948444,1.52
5948445,1.29
5948446,25.22
5948447,1.51
5948448,3.38
5948449,1.43
5948450,1.02
5948451,2
5948452,1.34
5948453,1.31
5948454,1.25
5948455,1.09
5948456,1.3
5948457,1.22
5948458,1.8
5948459,1.03
5948460,1.81
5948461,1.24
5948462,6.52
5948463,8.47
5948464,1.67
5948465,1.45
5948466,1.2
5948467,5.75
5948468,1.51
5948469,1.48
5948470,31.32
5948471,1.04
5948472,1.28
5948473,1.14
5948474,3.65
5948475,1.2
5948476,16.59
5948477,1.1
5948478,1.4
5948479,15.53
5948480,1.96
5948481,7.34
5948482,2.65
5948483,1.55
5948484,1.21
5948485,4.96
5948486,1.3
5948487,9.35
5948488,1.26
5948489,1.36
5948490,3.74
5948491,1.21
5948492,15.92
5948493,1.74
5948494,1.71
5948495,6.53
5948496,1.49
5948497,1.43
5948498,1.17
5948499,1.47
5948500,1.01
5948501,2.38
5948502,3.14
5948503,1.18
5948504,1.2
5948505,7.26
5948506,1.06
5948507,5.73
5948508,1.07
5948509,1.59
5948510,2.5
5948511,1.46
5948512,3.07
5948513,2.45
5948514,1.56
5948515,1.18
5948516,1.97
5948517,2.57
5948518,3.04
5948519,1.86
5948520,2.81
5948521,17.3
5948522,14.72
5948523,1.1
5948524,31.13
5948525,1.22
5948526,6.92
5948527,1.14
5948528,1.01
5948529,1.69
5948530,2.49
5948531,4.6
5948532,5.18
5948533,1.08
5948534,3.01
5948535,23.73
5948536,1.35
5948537,1.89
5948538,1.59
5948539,1.28
5948540,1.54
5948541,5.29
5948542,2.88
5948543,1.84
5948544,1.67
5948545,2.35
5948546,11.89
5948547,9.26
5948548,1.26
5948549,1.83
5948550,9.24
5948551,3.17
5948552,1.16
5948553,3.2
5948554,13.24
5948555,1.77
5948556,1.64
5948557,1.02
5948558,2.1
5948559,1.17
5948560,14.31
5948561,1.59
5948562,1
5948563,1.05
5948564,1
5948565,1.54
5948566,1.48
5948567,2.19
5948568,1.44
5948569,1.03
5948570,2.4
5948571,2.97
5948572,1.26
5948573,1.21
5948574,2.28
5948575,2.93
5948576,12.73
5948577,3.44
5948578,10.3
5948579,1.54
5948580,1.01
5948581,3.1
5948582,4.16
5948583,1.02
5948584,3.18
5948585,1.77
5948586,1.58
5948587,1.82
5948588,4.03
5948589,9.8
5948590,1.57
5948591,1.61
5948592,11.41
5948593,4.76
5948594,4.69
5948595,2.14
5948596,53.35
5948597,1.03
5948598,3.63
5948599,13.84
5948600,2.17
5948601,1.57
5948602,1.69
5948603,1.37
5948604,1.34
5948605,1.77
5948606,1.1
5948607,1.95
5948608,1.76
5948609,2.61
5948610,1.49
5948611,1.55
5948612,1.37
5948613,2.94
5948614,8.94
5948615,0
5948616,1.43
5948617,49.89
5948618,1.09
5948619,1.36
5948620,3.2
5948621,3.92
5948622,2.3
5948623,3.48
5948624,16.32
5948625,2.89
5948626,1.1
5948627,1.57
5948628,1.99
5948629,1.18
5948630,1.03
5948631,2.07
5948632,1.86
5948633,1.08
5948634,1.64
5948635,1.31
5948636,2.93
5948637,2.03
5948638,7.42
5948639,1.87
5948640,1.22
5948641,1.06
5948642,2.92
5948643,3.02
5948644,14.12
5948645,2.34
5948646,2.05
5948647,3.91
5948648,4.81
5948649,3.59
5948650,10.71
5948651,40.53
5948652,16.37
5948653,2.57
5948654,3.82
5948655,1.16
5948656,12.09
5948657,1.03
5948658,2.99
5948659,1.38
5948660,1.27
5948661,1.1
5948662,80.06
5948663,2.04
5948664,15.65
5948665,2.38
5948666,1.73
5948667,1.07
5948668,2.17
5948669,1.15
5948670,2.04
5948671,1.15
5948672,2.66
5948673,2.28
5948674,3.2
5948675,1.12
5948676,0
5948677,1.67
5948678,2.66
5948679,5.31
5948680,1.14
5948681,2.14
5948682,1.03
5948683,3.23
5948684,2.04
5948685,3.03
5948686,56.99
5948687,2.02
5948688,1.96
5948689,2.13
5948690,1.19
5948691,3.36
5948692,1.6
5948693,1.16
5948694,2.57
5948695,1.44
5948696,1.49
5948697,1.36
5948698,5.11
5948699,1.46
5948700,1.87
5948701,3.22
5948702,1.05
5948703,1.29
5948704,1.14
5948705,5.97
5948706,1.39
