id,crash,timestamp,bet_sum,player_count
7225500,5.0,1714965200,3697,-1
7225499,1.01,1714965192,2694,-1
7225498,1.21,1714965180,1678,-1
7225497,2.88,1714965155,13139,-1
7225496,1.42,1714965141,9323,-1
7225495,1.68,1714965124,5071,-1
7225494,1.87,1714965105,7447,-1
7225493,1.06,1714965096,2929,-1
7225492,2.23,1714965075,4561,-1
7225491,12.89,1714965024,4727,-1
7225490,2.1,1714965004,4192,-1
7225489,2.61,1714964980,6515,-1
7225488,1.59,1714964964,6278,-1
7225487,3.28,1714964936,6169,-1
7225486,1.74,1714964919,3282,-1
7225485,1.18,1714964908,3372,-1
7225484,7.35,1714964866,6368,-1
7225483,1.4,1714964853,7638,-1
7225482,1.23,1714964841,5749,-1
7225481,9.22,1714964796,6151,-1
7225480,1.2,1714964785,4553,-1
7225479,1.96,1714964765,7242,-1
7225478,1.1,1714964756,2363,-1
7225477,19.01,1714964699,7703,-1
7225476,1.01,1714964690,6279,-1
7225475,10.29,1714964643,8042,-1
7225474,1.94,1714964624,4725,-1
7225473,1.35,1714964611,10655,-1
7225472,1.32,1714964598,1563,-1
7225471,2.67,1714964574,1732,-1
7225470,2.5,1714964551,8716,-1
7225469,8.15,1714964508,1653,-1
7225468,4.01,1714964476,2354,-1
7225467,1.23,1714964465,5658,-1
7225466,5.18,1714964429,11058,-1
7225465,6.34,1714964390,7483,-1
7225464,1.2,1714964379,5995,-1
7225463,15.42,1714964326,3592,-1
7225462,3.24,1714964298,5910,-1
7225461,8.85,1714964254,6366,-1
7225460,3.09,1714964227,10319,-1
7225459,1.34,1714964214,4005,-1
7225458,5.17,1714964178,6783,-1
7225457,0.0,1714964170,10979,-1
7225456,2.75,1714964145,4356,-1
7225455,1.12,1714964135,3424,-1
7225454,1.08,1714964126,2679,-1
7225453,3.41,1714964097,4426,-1
7225452,1.6,1714964081,3831,-1
7225451,1.1,1714964072,8190,-1
7225450,4.21,1714964040,3261,-1
7225449,5.41,1714964003,2858,-1
7225448,1.78,1714963986,6175,-1
7225447,512.7,1714963874,18842,-1
7225446,1.02,1714963865,11912,-1
7225445,1.11,1714963855,13505,-1
7225444,1.33,1714963842,5295,-1
7225443,1.92,1714963823,2749,-1
7225442,1.37,1714963810,6837,-1
7225441,2.08,1714963790,10353,-1
7225440,76.09,1714963710,11845,-1
7225439,1.92,1714963691,7553,-1
7225438,1.26,1714963679,4058,-1
7225437,1.04,1714963670,8256,-1
7225436,1.29,1714963657,11344,-1
7225435,2.39,1714963635,8755,-1
7225434,1.0,1714963627,4857,-1
7225433,1.34,1714963614,3559,-1
7225432,1.71,1714963597,5142,-1
7225431,2.9,1714963571,6911,-1
7225430,1.5,1714963556,7340,-1
7225429,2.24,1714963534,4871,-1
7225428,1.31,1714963522,6191,-1
7225427,1.7,1714963505,3281,-1
7225426,4.88,1714963470,3742,-1
7225425,9.95,1714963424,3466,-1
7225424,2.19,1714963403,5118,-1
7225423,1.9,1714963384,5350,-1
7225422,16.15,1714963330,5327,-1
7225421,1.34,1714963317,4113,-1
7225420,1.2,1714963305,3111,-1
7225419,5.62,1714963269,3094,-1
7225418,2.13,1714963248,3391,-1
7225417,2.19,1714963227,2328,-1
7225416,5.71,1714963190,3674,-1
7225415,1.01,1714963181,2518,-1
7225414,4.81,1714963147,4187,-1
7225413,1.55,1714963132,3082,-1
7225412,3.23,1714963104,10736,-1
7225411,1.31,1714963091,7745,-1
7225410,1.6,1714963075,11451,-1
7225409,1.1,1714963066,7414,-1
7225408,1.7,1714963049,5045,-1
7225407,6.1,1714963011,42012,-1
7225406,1.3,1714962998,24375,-1
7225405,1.88,1714962979,11303,-1
7225404,1.2,1714962968,7626,-1
7225403,1.11,1714962958,6908,-1
7225402,1.19,1714962947,5391,-1
7225401,1.0,1714962939,6293,-1
7225400,13.9,1714962887,24974,-1
7225399,1.28,1714962875,10429,-1
7225398,1.72,1714962858,9217,-1
7225397,1.13,1714962848,21369,-1
7225396,1.2,1714962836,8252,-1
7225395,1.01,1714962828,6128,-1
7225394,2.0,1714962808,11240,-1
7225393,2.63,1714962784,5076,-1
7225392,9.9,1714962738,6399,-1
7225391,3.84,1714962708,3392,-1
7225390,1.39,1714962694,6096,-1
7225389,2.49,1714962671,7615,-1
7225388,60.95,1714962594,6030,-1
7225387,1.66,1714962578,4256,-1
7225386,1.89,1714962559,8378,-1
7225385,1.6,1714962543,7296,-1
7225384,2.79,1714962518,4807,-1
7225383,6.18,1714962479,16690,-1
7225382,1.13,1714962469,5323,-1
