id,crash,timestamp,bet_sum,player_count
7217787,1.18,1714773487,10451,14
7217786,10.89,1714773439,2821,14
7217785,67.25,1714773361,19975,14
7217784,0.0,1714773353,10362,15
7217783,3.58,1714773324,341,12
7217782,4.06,1714773293,5634,15
7217781,1.02,1714773284,24532,15
7217780,0.0,1714773276,24195,17
7217779,1.92,1714773257,10672,15
7217778,1.16,1714773246,20746,15
7217777,19.88,1714773189,3461,15
7217776,1.58,1714773173,2610,14
7217775,5.22,1714773137,18778,16
7217774,1.19,1714773126,2647,17
7217773,2.33,1714773104,6635,16
7217772,1.2,1714773093,4443,16
7217771,1.54,1714773078,4363,16
7217770,3.58,1714773048,30901,16
7217769,5.06,1714773013,9184,18
7217768,1.5,1714772998,3151,17
7217767,2.44,1714772975,66083,20
7217766,1.31,1714772963,12332,18
7217765,2.39,1714772940,4614,17
7217764,1.28,1714772928,6798,17
7217763,1.0,1714772920,45946,15
7217762,1.09,1714772910,46235,14
7217761,4.95,1714772875,4930,15
7217760,1.28,1714772863,656,15
7217759,1.22,1714772852,6426,15
7217758,2.22,1714772830,24300,13
7217757,17.18,1714772775,8138,16
7217756,2.04,1714772755,28309,15
7217755,9.77,1714772709,17381,17
7217754,1.38,1714772695,17757,16
7217753,1.11,1714772685,6403,18
7217752,1.83,1714772667,7696,17
7217751,1.77,1714772650,13830,18
7217750,1.04,1714772641,12527,17
7217749,1.01,1714772632,9521,16
7217748,3.47,1714772604,28932,17
7217747,5.16,1714772568,7806,17
7217746,4.38,1714772536,61718,18
7217745,1.39,1714772522,26988,19
7217744,2.26,1714772500,24098,19
7217743,1.76,1714772483,42558,18
7217742,2.24,1714772461,23682,16
7217741,11.12,1714772413,3989,19
7217740,1.55,1714772398,7683,18
7217739,1.68,1714772381,15631,17
7217738,2.68,1714772356,33190,17
7217737,1.96,1714772337,31362,16
7217736,5.8,1714772300,6513,15
7217735,38.26,1714772231,19816,16
7217734,21.63,1714772172,4302,18
7217733,0.0,1714772164,9319,18
7217732,1.05,1714772155,5940,19
7217731,2.56,1714772131,39541,19
7217730,2.5,1714772108,46873,16
7217729,1.01,1714772099,24315,16
7217728,47.01,1714772027,3261,19
7217727,2.3,1714772005,10923,17
7217726,2.61,1714771981,24049,17
7217725,12.6,1714771931,21870,18
7217724,1.99,1714771911,7734,17
7217723,28.24,1714771848,49550,18
7217722,1.12,1714771838,8691,19
7217721,1.36,1714771824,47419,17
7217720,6.18,1714771786,12577,20
7217719,2.43,1714771763,24843,20
7217718,1.73,1714771746,15640,17
